id,IP_ES_25_N1,Z3_IB_4_N1,Z1_IB_10_N1,Z1_IB_5_N1,Z3_IB_8_N1,ECI_IB_4_N1,ECI_IB_5_N1,Gs(U)_IB_12_N1,Gs(U)_IB_68_N1,Gs(U)_IB_58_N1,Gs(U)_IB_60_N1,Z1_NO_sideL35_M,HP_NO_sideL35_CV,Z1_NO_sideR35_CV,Pb_NO_sideR35_S,IP_NO_sideL35_SI71,Z1_NO_PRT_CV,Z2_NO_AHR_CV,Gs(U)_NO_ALR_SI71,Z3_NO_UCR_S,Z3_NO_UCR_N1,ECI_NO_UCR_CV,Pa_NO_BSR_SI71,ISA_NO_NPR_S,Z3_NO_NPR_V,IP_NO_PLR_S,Pb_NO_PCR_V,ECI_NO_PCR_CV,class
61,4.29,16.49,11.26,10.44,16.69,49.16,43.08,0.08,0.04,0.04,0.04,6.73,-1.45,1.88,1.47,0.53,1.99,1.01,0.52,-1.31,1.67,0.42,0.46,-1.26,2.19,-0.06,0.01,0.57,P
62,-0.4,15.08,8.76,6.61,21.02,41.13,31.77,0.03,0.04,0.04,0.04,1.74,-2.74,85.57,0.65,0.57,10.24,4.16,0.52,-1.59,3.28,0.4,0.53,-0.95,1.18,0.35,0.02,0.62,P
63,5.61,17.18,9.9,7.13,9.94,83.12,80.74,0.18,0.09,0.06,0.04,0.97,-14.12,2.07,1.36,0.5,3.65,3.71,0.52,-0.29,-4.55,0.36,0.47,-0.23,1.24,-0.52,0,0.53,P
64,5.27,29.52,6.27,8.16,26.01,42.14,74.94,0.08,0.04,0.07,0.05,32.37,-5.85,8.17,0.87,0.58,155.43,5.97,0.51,1.65,10.14,0.45,0.61,-1.08,1.25,0.5,0.02,0.62,P
65,5.92,259.26,333.33,333.33,259.26,466.67,466.67,0.13,0.1,0.04,0.03,0.08,0.81,1.27,1.4,0.13,2.14,-1.65,0.21,-1.79,1.4,0.35,0.83,1.36,0.49,-0.46,0.01,0.63,P
66,6.12,18.71,9,9.77,19.64,57.97,32.68,0.05,0.05,0.06,0.05,1.78,-7.52,-24.93,0.29,0.56,12.2,3.64,0.54,1.69,2.58,0.44,0.54,-0.75,1.24,0.42,0.02,0.61,P
67,9.44,13.39,11.17,11.46,7,34.8,44.13,0.06,0.06,0.08,0.06,1.32,-3.41,2.56,0.97,0.68,2.57,2.56,0.56,0.51,28.57,0.66,0.56,-0.29,0.92,0.38,0.02,0.58,P
68,4.59,16.34,7.97,6.82,13.94,25.85,26.09,0.04,0.04,0.04,0.04,0.68,-1.98,9.08,0.97,0.54,3.83,6.52,0.52,2.1,3.33,0.42,0.53,-1.14,0.27,0.28,0.01,0.62,P
69,6.14,259.26,333.33,333.33,259.26,466.67,466.67,0.13,0.09,0.11,0.07,0.09,0.92,4.83,0.64,0.3,21.54,-1.12,0.34,-0.27,-2.91,0.4,0.56,0.78,0.6,0.61,0.03,0.03,P
70,5.32,11.54,22.13,9.83,23.65,83.31,144.09,0.06,0.05,0.04,0.05,0.99,4.96,14.88,0.92,0.64,-26.7,-3.62,0.54,1.24,10.38,0.5,0.52,-1.37,1.3,0.73,0,0,P
71,3.74,33.33,8.15,8.21,19.92,22.22,23.78,0.05,0.05,0.04,0.04,1.99,-2.78,3.34,0.72,0.6,4.59,8.62,0.61,-0.81,0.05,0.35,0.64,-1.22,0.83,0.47,0.01,0.45,P
72,5.3,22.31,9.36,10.54,21.62,36.03,45.31,0.04,0.05,0.04,0.04,0.68,-2.35,3.05,1.74,0.52,2.74,193.04,0.47,-1.5,2.44,0.41,0.66,-0.25,0.34,0.38,0.02,0.61,N
73,7.18,26.35,7.87,14.85,12.83,197.76,189.41,0.06,0.04,0.03,0.03,1.81,-18.92,-17.7,0.44,0.57,-19.33,18.4,0.54,1.65,0.37,0.41,0.51,-1.02,1.52,0.64,0.02,0.62,N
74,9.14,25.67,7.57,6.32,17.98,382.88,362.31,0.08,0.03,0.04,0.04,1.64,-2.81,2.92,1.2,0.55,3.45,2.07,0.43,-1.66,3.14,0.44,0.65,-1.58,0.46,-0.1,0.01,0.62,N
75,15.15,32.68,7.32,9.7,12.3,166.66,135.03,0.03,0.04,0.06,0.07,0.61,-58.83,5.75,0.78,0.53,72.63,-14.59,0.46,-1.02,2.46,0.34,0.59,-0.89,0.48,-0.25,0.01,0.55,N
76,5.11,35.68,9.8,9.96,13.37,368.78,128.96,0.07,0.08,0.05,0.04,0.34,10.32,-14.24,1.06,0.61,-10.73,-1.24,0.49,0.83,13.77,0.6,0.61,-0.6,1.35,0.95,0.01,0.32,N
77,0.67,17.36,5.93,8.67,11.17,32.51,31.65,0.04,0.05,0.04,0.03,1.71,-2.35,7.15,0.93,0.56,5.13,3.62,0.51,2.22,2.61,0.37,0.55,-0.92,1.03,0.38,0.02,0.61,N
78,4.91,28.27,7.49,6.89,15.54,26.22,29.05,0.04,0.04,0.1,0.05,5.87,-4.95,9.97,0.5,0.56,8.41,5.64,0.45,-0.56,-1.99,0.33,0.57,-0.98,1.1,0.18,0.02,0.59,N
79,-0.64,19.96,8.17,8.14,29.48,95.05,46.99,0.05,0.06,0.06,0.04,0.6,5.31,-9.65,0.63,0.54,-5.03,-3.15,0.47,-1.25,0.34,0.44,0.52,-0.92,0.82,0.28,0.02,0.56,N
80,5.91,16.42,6.77,8.13,41.16,21.79,27.56,0.04,0.05,0.08,0.04,0.7,-6.27,18.08,0.95,0.56,9.15,196.24,0.52,-1.05,1.18,0.37,0.46,-1.12,0.59,0.59,0.02,0.64,N
81,6.16,23.25,7.21,8.6,13.91,31.28,26.72,0.03,0.13,0.07,0.08,2.07,-10.93,1.5,1.6,0.49,5.39,-3.78,0.49,-1.32,2.8,0.4,0.66,-0.04,1.1,0.77,0.01,0.66,N
82,5.04,10.41,13.51,6.42,25.79,44.79,31.49,0.05,0.1,0.05,0.04,1.12,-6.58,-23.21,0.55,0.54,-16.45,-2969.27,0.55,-0.92,0.52,0.38,0.48,-1.16,1.21,0.76,0.02,0.65,N
83,0.35,13.1,6.97,14.06,13.83,97.63,119.49,0.03,0.04,0.04,0.03,1.07,-11.88,3.62,1.17,0.59,6.91,4.5,0.5,-0.78,-0.65,0.38,0.48,-0.84,1.26,0.52,0.02,0.63,N
84,4.61,56.92,8.91,14.53,45.11,91.79,112.58,0.08,0.05,0.04,0.04,0.7,-6.95,20.33,0.63,0.55,9.91,6.1,0.53,-1.65,5.01,0.41,0.57,-0.51,0.64,0.31,0.02,0.63,N
85,-1.09,34.39,16,9.72,36.01,110.92,92.34,0.04,0.04,0.08,0.17,0.72,-12.35,22.68,0.64,0.52,9.2,-15.83,0.56,-0.5,-3.06,0.35,0.49,-0.49,1.2,0.49,0.01,0.55,N
86,6.98,28.7,14.93,10.01,19.59,27.17,33.86,0.09,0.07,0.05,0.04,0.64,-2.63,4.32,0.86,0.57,5.21,-3.24,0.42,-1.13,1.43,0.42,0.56,-0.25,1.61,0.79,0.01,0.55,N
87,6.46,29.82,8.67,7.18,21.9,45.08,67.8,0.04,0.06,0.03,0.06,0.59,15.44,7.41,0.63,0.44,14.27,29.75,0.52,-1.36,2.22,0.37,0.46,-0.49,1,-0.38,0.01,0.59,N
88,5.05,23.68,6.69,7.5,29.01,90.92,46.06,0.07,0.08,0.09,0.06,0.74,17.08,19.64,0.77,0.47,-70.32,-3.13,0.54,1.24,11.13,0.46,0.55,-0.74,1.19,1.75,0.02,0.65,N
89,6.35,21,6.54,11.29,15.86,68.3,43.9,0.04,0.13,0.13,0.13,1.09,-3.86,-300.74,1.81,0.64,17.18,-1.36,0.38,1.73,5.84,0.47,0.61,0.43,0.86,0.49,0.02,0.62,N
90,5.98,23.87,12.17,15.34,38.7,38.8,26.97,0.07,0.05,0.16,0.05,26.41,-4.4,-180.62,0.76,0.57,-31.27,-10.09,0.54,-0.77,-0.95,0.38,0.51,-0.91,1.47,0.78,0.01,0.65,N
91,5.8,23.82,15.94,6.61,18.6,24.49,26.77,0.09,0.04,0.05,0.04,2.7,-4.21,3.18,1.23,0.59,6.2,4.04,0.46,1.31,10.26,0.49,0.5,-0.78,2.12,0.64,0,0,N
92,4.13,14.06,17.77,9.76,11.95,54.28,45.32,0.08,0.05,0.05,0.05,1.03,-4.78,7.26,1.56,0.43,-67.96,2.06,0.29,-9999,-9999,-9999,0.11,-1.88,2.61,-0.23,0,0,N
93,16.77,22.81,8.95,13.43,15.58,36.11,37.18,0.04,0.03,0.04,0.06,3.55,-2.57,3.15,0.77,0.67,2.82,2.42,0.56,1.05,22.37,0.58,0.59,-0.28,1.02,0.38,0.02,0.59,N
94,5.65,13.73,12.18,6.21,9.79,24.75,29.06,0.05,0.04,0.07,0.1,0.98,-29.79,2.94,1.08,0.53,7.31,-3.32,0.51,1.17,5.26,0.46,0.55,-0.14,1,0.65,0.02,0.58,N
95,0.01,22.35,9.63,7.71,11.9,47.59,69.43,0.04,0.03,0.05,0.03,1.73,-4.59,4.16,0.75,0.5,4.92,2.79,0.56,2.1,9.53,0.43,0.51,-0.66,0.54,0.07,0.01,0.61,N
96,5.4,18.26,5.41,13.23,25.65,75.01,81.5,0.04,0.03,0.08,0.21,0.57,-18.63,-11.23,0.27,0.52,-18.11,-5.44,0.53,1.9,2.05,0.42,0.51,-0.71,1.45,0.38,0.01,0.46,N
97,5.12,24.32,8.77,11.5,28.73,52.42,50.28,0.04,0.04,0.06,0.08,0.71,-2.72,3.03,1.34,0.5,3.29,6.26,0.45,-0.98,1.58,0.37,0.47,-0.67,0.3,0.27,0.02,0.6,N
98,6.51,8.86,9.66,13.18,8.46,34.83,44.19,0.05,0.03,0.04,0.08,2.2,-1.75,-7.28,0.23,0.54,20.35,2.37,0.52,-1.05,-2.64,0.35,0.53,-0.91,1.83,-0.07,0.02,0.63,N
99,6.2,27.17,7.36,13.18,21.75,75.82,120.18,0.05,0.05,0.07,0.05,1.09,9.49,-4.53,0.22,0.58,-6.52,48.69,0.52,-0.43,-2.53,0.39,0.48,-0.89,1.13,0.39,0.01,0.02,N
100,-1.09,43.77,7.59,8.97,19.56,40.83,40.04,0.05,0.04,0.04,0.04,1.69,-4.9,-7.64,0.33,0.61,-24.75,12.9,0.51,1.56,3.79,0.44,0.55,-0.64,0.99,0.46,0.02,0.63,N
101,13.43,24.55,6.65,9.1,27.01,22.82,22.87,0.04,0.03,0.04,0.06,1.02,-2.52,24.98,1.06,0.63,15.18,-25.65,0.49,-0.48,-2.4,0.39,0.46,-0.76,1.29,0.36,0.02,0.54,N
102,6.65,23.13,7.35,7.77,16.61,39.48,38.2,0.07,0.04,0.05,0.05,0.99,-3.83,-35.77,0.72,0.54,14.51,-12.33,0.54,1.45,1.94,0.48,0.56,-0.71,1.24,0.67,0.02,0.64,N
103,-1.47,10.8,10.68,7.35,13.96,33.19,33.18,0.03,0.04,0.05,0.05,0.99,-3.72,29.52,0.43,0.55,10.93,6.58,0.55,-0.37,-4.54,0.37,0.49,-0.55,0.49,0.48,0.02,0.62,N
104,5.3,20.26,9.89,8.64,24.29,35.77,31.35,0.2,0.05,0.05,0.04,0.93,-4.49,9.28,0.62,0.62,6.82,7,0.54,1.17,5.88,0.48,0.51,-0.73,1.36,0.77,0.02,0.63,N
105,5.05,12.68,10.1,7.66,27.93,43.5,68.93,0.04,0.06,0.07,0.07,0.54,-4.13,3.24,1.11,0.53,3.75,4.95,0.48,-0.68,-2.37,0.39,0.45,-0.85,0.27,0.44,0.01,0.02,N
106,6.11,17,11.55,6.48,16.28,59.56,46.38,0.06,0.08,0.05,0.05,1.4,-3.9,4.33,0.49,0.54,4.33,4.34,0.56,0.83,1.71,0.43,0.46,-0.79,0.8,0.63,0.02,0.63,N
107,-0.98,16.07,9.8,9.04,21.02,92.4,267.36,0.04,0.04,0.04,0.1,1.05,-6.1,-7.16,0.47,0.58,-20.2,-9.83,0.53,1.64,8.44,0.5,0.57,-0.69,0.81,0.5,0.02,0.62,N
108,5.8,19.67,11.29,12.44,16.36,72.09,68.64,0.07,0.05,0.05,0.05,1.59,-4.51,2.87,1.39,0.53,4.07,-36.05,0.56,-1.06,1.72,0.41,0.49,-0.52,1.6,0.77,0,0,N
109,5.24,10.11,8.97,8.79,36.56,16.5,21.36,0.05,0.05,0.06,0.04,0.66,-2.68,3.89,1.03,0.63,2.97,16.94,0.58,1.15,6.74,0.46,0.56,-0.72,1.46,0.79,0.01,0.58,N
110,5.38,25.88,9.48,6.88,15.81,82.06,87.86,0.04,0.07,0.05,0.05,0.55,-5.35,2.6,1.66,0.61,3.41,-51.96,0.48,1.41,12.12,0.57,0.52,-0.34,1.85,0.34,0.02,0.52,N
111,4.8,25.25,8.89,7.75,18.49,26,27.31,0.05,0.05,0.09,0.07,1.73,-4.07,9.47,0.73,0.51,7.45,2.93,0.54,-1.8,5.83,0.42,0.59,-1.65,1.58,0.46,0.02,0.62,N
